id,student_id,course_id,created_by,created_date,last_modified_by,last_modified_date
1,34959,1,\N,\N,\N,\N
2,692,1,\N,\N,\N,\N
3,39363,1,\N,\N,\N,\N
4,31490,1,\N,\N,\N,\N
5,29067,1,\N,\N,\N,\N
6,36961,1,\N,\N,\N,\N
7,28093,1,\N,\N,\N,\N
8,16244,1,\N,\N,\N,\N
9,25900,1,\N,\N,\N,\N
10,38497,1,\N,\N,\N,\N
11,35106,1,\N,\N,\N,\N
12,6823,1,\N,\N,\N,\N
13,17010,1,\N,\N,\N,\N
14,14424,1,\N,\N,\N,\N
15,29746,1,\N,\N,\N,\N
16,16015,1,\N,\N,\N,\N
17,24126,1,\N,\N,\N,\N
18,12777,1,\N,\N,\N,\N
19,1790,1,\N,\N,\N,\N
20,35916,1,\N,\N,\N,\N
21,27239,1,\N,\N,\N,\N
22,6096,1,\N,\N,\N,\N
23,39559,1,\N,\N,\N,\N
24,21020,1,\N,\N,\N,\N
25,15505,1,\N,\N,\N,\N
26,7410,1,\N,\N,\N,\N
27,36192,1,\N,\N,\N,\N
28,22193,1,\N,\N,\N,\N
29,4756,1,\N,\N,\N,\N
30,28063,1,\N,\N,\N,\N
31,142,1,\N,\N,\N,\N
32,17251,1,\N,\N,\N,\N
33,11561,1,\N,\N,\N,\N
34,8028,1,\N,\N,\N,\N
35,21891,1,\N,\N,\N,\N
36,32969,1,\N,\N,\N,\N
37,15209,1,\N,\N,\N,\N
38,2202,1,\N,\N,\N,\N
39,15693,1,\N,\N,\N,\N
40,8683,1,\N,\N,\N,\N
41,9571,1,\N,\N,\N,\N
42,5063,1,\N,\N,\N,\N
43,21613,1,\N,\N,\N,\N
44,27162,1,\N,\N,\N,\N
45,34618,1,\N,\N,\N,\N
46,3723,1,\N,\N,\N,\N
47,33020,1,\N,\N,\N,\N
48,14832,1,\N,\N,\N,\N
49,31598,1,\N,\N,\N,\N
50,24826,1,\N,\N,\N,\N
51,10752,1,\N,\N,\N,\N
52,34349,1,\N,\N,\N,\N
53,37887,1,\N,\N,\N,\N
54,20797,1,\N,\N,\N,\N
55,37000,1,\N,\N,\N,\N
56,16930,1,\N,\N,\N,\N
57,32488,1,\N,\N,\N,\N
58,24694,1,\N,\N,\N,\N
59,27442,1,\N,\N,\N,\N
60,15103,1,\N,\N,\N,\N
61,11676,1,\N,\N,\N,\N
62,34161,1,\N,\N,\N,\N
63,13214,1,\N,\N,\N,\N
64,11896,1,\N,\N,\N,\N
65,24950,1,\N,\N,\N,\N
66,24377,1,\N,\N,\N,\N
67,19432,1,\N,\N,\N,\N
68,5824,1,\N,\N,\N,\N
69,37650,1,\N,\N,\N,\N
70,32700,1,\N,\N,\N,\N
71,29704,1,\N,\N,\N,\N
72,38782,1,\N,\N,\N,\N
73,25205,1,\N,\N,\N,\N
74,10133,1,\N,\N,\N,\N
75,10378,1,\N,\N,\N,\N
76,17246,1,\N,\N,\N,\N
77,11680,1,\N,\N,\N,\N
78,39255,1,\N,\N,\N,\N
79,39475,1,\N,\N,\N,\N
80,14796,1,\N,\N,\N,\N
81,8313,1,\N,\N,\N,\N
82,11453,1,\N,\N,\N,\N
83,6268,1,\N,\N,\N,\N
84,1501,1,\N,\N,\N,\N
85,152,1,\N,\N,\N,\N
86,218,1,\N,\N,\N,\N
87,31711,1,\N,\N,\N,\N
88,29001,1,\N,\N,\N,\N
89,38617,1,\N,\N,\N,\N
90,22106,1,\N,\N,\N,\N
91,37281,1,\N,\N,\N,\N
92,13265,1,\N,\N,\N,\N
93,989,1,\N,\N,\N,\N
94,12338,1,\N,\N,\N,\N
95,37933,1,\N,\N,\N,\N
96,27547,1,\N,\N,\N,\N
97,9193,1,\N,\N,\N,\N
98,9789,1,\N,\N,\N,\N
99,27109,1,\N,\N,\N,\N
100,35435,1,\N,\N,\N,\N
101,21729,1,\N,\N,\N,\N
102,4711,1,\N,\N,\N,\N
103,38916,1,\N,\N,\N,\N
104,32600,1,\N,\N,\N,\N
105,30862,1,\N,\N,\N,\N
106,27351,1,\N,\N,\N,\N
107,12639,1,\N,\N,\N,\N
108,13560,1,\N,\N,\N,\N
109,24843,1,\N,\N,\N,\N
110,26901,1,\N,\N,\N,\N
111,20506,1,\N,\N,\N,\N
112,11975,1,\N,\N,\N,\N
113,4728,1,\N,\N,\N,\N
114,16763,1,\N,\N,\N,\N
115,16436,1,\N,\N,\N,\N
116,38959,1,\N,\N,\N,\N
117,4471,1,\N,\N,\N,\N
118,17889,1,\N,\N,\N,\N
119,10761,1,\N,\N,\N,\N
120,7821,1,\N,\N,\N,\N
121,32329,1,\N,\N,\N,\N
122,6394,1,\N,\N,\N,\N
123,10781,1,\N,\N,\N,\N
124,8292,1,\N,\N,\N,\N
125,4953,1,\N,\N,\N,\N
126,37267,1,\N,\N,\N,\N
127,20816,1,\N,\N,\N,\N
128,26326,1,\N,\N,\N,\N
129,31939,1,\N,\N,\N,\N
130,15164,1,\N,\N,\N,\N
131,36129,1,\N,\N,\N,\N
132,2138,1,\N,\N,\N,\N
133,29448,1,\N,\N,\N,\N
134,26090,1,\N,\N,\N,\N
135,4262,1,\N,\N,\N,\N
